Timestamp,S.No.,First Name,Last Name,Email address,Which of the following words appeals the most to you?,Domain 1,Domain 2,Domain 3,Project Preference 1,Project Preference 2,Project Preference 3,Project Preference 4,Project Preference 5,Do you have prior work experience of more than 1 year?,What is your broad area of academic qualification?,"Rank the following roles in order of what you are most likely to assume within a team [Idea-oriented (strategist, ideator, researcher)]","Rank the following roles in order of what you are most likely to assume within a team [Action-oriented (implementor, organiser, executor)]","Rank the following roles in order of what you are most likely to assume within a team [People-oriented (relationship-builder, team-worker, coordinator)]",Preferred Team Member (Paired),"Preferred Team Member

(only a few Fellows selected - there will be Fellows appearing more than once)","Preferred Team Member

(all Fellows selected only once)"
88,51,Dhruv,Trehan,Dhruv.Trehan@elmsampledata.com,,Black,Puppies,White,Two Hundred Puppies,Outer Space,Snow,The Big Itch,Our Corona Puppies,Yes,Medicine,2,1,3,Royston,,
98,52,DivyaE,Elizabeth,Divya.Elizabeth@elmsampledata.com,,Exotic,Magenta,Blue,Exotic Dream and a Pinch of Bottle,E.X.O.T.I.C.,Water,King Magenta,If I was your Exotic Bottle,Yes,Engineering,2,1,3,,,
68,53,DivyaS,Sihag,Divya.Sihag@elmsampledata.com,,Puppies,Cakes,Bottles,Two Hundred Puppies,Two Hundred Odd Puppies,Our Corona Puppies,A Box of Cakes with Neon Bottle,B.O.T.T.L.E.,Yes,Humanities / Social Sciences,1,2,3,Mitra,,
143,54,DivyaP,Prabha,Divya.Prabha@elmsampledata.com,,Puppies,White,Green,Two Hundred Puppies,Glaciers,The Big Itch,Our Corona Puppies,Trees,Yes,Humanities / Social Sciences,3,2,1,Hari,,
134,55,Divyashree,S,Divyashree.S@elmsampledata.com,,Exotic,Bottles,Blue,Exotic Dream and a Pinch of Bottle,Bottlehead,E.X.O.T.I.C.,Water,If I was your Exotic Bottle,No,Medicine,3,1,2,,,
78,56,Dominic,Sominthang,Dominic.Sominthang@elmsampledata.com,,Puppies,Bottles,Exotic,Two Hundred Puppies,"Bottle, Cakes and Puppies",Two Hundred Dancing Iced Puppies,Two Hundred Puppies,Our Corona Puppies,Yes,Humanities / Social Sciences,1,3,2,Priyanshi,,
7/24/2020 13:53:15,57,Donny,Croney,Donny.Croney@elmsampledata.com,"Cakes, Bottles, Neon",Cakes,Bottles,Neon,Bottlehead,A Box of Cakes with Neon Bottle,Cakes Two Hundred,Exotic Dream and a Pinch of Bottle,King Neon,No,Engineering,2,1,3,Cherlyn,Pattie,Cathey
7/24/2020 16:15:06,58,Gamma,Major,Gamma.Major@elmsampledata.com,"Puppies, Cakes, Dance",Puppies,Cakes,Dance,Two Hundred Odd Puppies,The Love of Cakes,King Neon,Megabottle,Bring Me the Cakes,Yes,Humanities / Social Sciences,2,3,1,Theta,Alpha,Theta
7/24/2020 13:36:29,59,Garland,Lofton,Garland.Lofton@elmsampledata.com,"Neon, Dance, Exotic",Neon,Dance,Exotic,The Dancing Mind,Our Exotic Bottle Love,This Love is Exotic But It's Unique,If I was your Exotic Bottle,Two Hundred Dancing Iced Puppies,Yes,Law,3,1,2,Karyn,Karyn,Yukiko
7/25/2020 2:06:25,60,Gayle,Jopper,Gayle.Jopper@elmsampledata.com,"Cakes, Bottles, Corona",Cakes,Bottles,Corona,Cakes and a Bottle,B.O.T.T.L.E.,Our Corona Puppies,Flight of the Cakes,Bottle Fighters,No,Humanities / Social Sciences,3,1,2,Marvin,,
7/24/2020 13:38:40,61,Gertrude,Filippi,Gertrude.Filippi@elmsampledata.com,"Puppies, Cakes, Dance",Puppies,Cakes,Dance,Between the Cakes and Me,Bring Me the Cakes,The Dancing Mind,The Love of Cakes,The Kind of Songs Flight of the Cakes might record,Yes,Humanities / Social Sciences,2,1,3,Ghislaine,Maegan,Sergio
7/24/2020 13:38:52,62,Ghislaine,Wexler,Ghislaine.Wexler@elmsampledata.com,"Cakes, Neon, Exotic",Cakes,Neon,Exotic,Between the Cakes and Me,The Love of Cakes,The Kind of Songs Flight of the Cakes might record,Our Exotic Bottle Love,A Box of Cakes with Neon Bottle,No,Mass Communication,2,1,3,Gertrude,Mayme,Garland
7/24/2020 13:25:14,63,Gita,Foor,Gita.Foor@elmsampledata.com,"Puppies, Dance, Exotic",Puppies,Dance,Exotic,E.X.O.T.I.C.,Exotic Dream and a Pinch of Bottle,Two Hundred Puppies,Two Hundred Dancing Iced Puppies,Our Corona Puppies,No,Mass Communication,1,2,3,Kayleen,Delisa,Marleen
199,64,Hadiya,Sultanpuri,Hadiya.Sultanpuri@elmsampledata.com,,Exotic,Bottles,Magenta,E.X.O.T.I.C.,Bottlehead,If I was your Exotic Bottle,King Magenta,Bottle Fighters,Yes,Humanities / Social Sciences,3,2,1,,,
144,65,Hari,Haran,Hari.Haran@elmsampledata.com,,Puppies,White,Green,Two Hundred Puppies,Glaciers,Moss and Lichen,Our Corona Puppies,Trees,Yes,Medicine,1,2,3,DivyaP,,
99,66,Harshahn,J,Harshahn.J@elmsampledata.com,,Blue,Exotic,Magenta,Indigo,Exotic Dream and a Pinch of Bottle,Waves,E.X.O.T.I.C.,King Magenta,No,Medicine,2,1,3,,,
7/24/2020 13:49:17,67,Hildred,Truesdell,Hildred.Truesdell@elmsampledata.com,"Puppies, Cakes, Exotic",Puppies,Cakes,Exotic,Flight of the Cakes,Two Hundred Odd Puppies,If I was your Exotic Bottle,E.X.O.T.I.C.,King Neon,Yes,Marketing,3,1,2,Kristie,Kristie,Pattie
179,68,Insha,Bint,Insha.Bint@elmsampledata.com,,Magenta,Exotic,Bottles,King Magenta,Exotic Dream and a Pinch of Bottle,E.X.O.T.I.C.,Waves,Ink,No,Humanities / Social Sciences,2,3,1,,,
180,69,Ipsita,Gupta,Ipsita.Gupta@elmsampledata.com,,Exotic,Bottles,Blue,E.X.O.T.I.C.,Exotic Dream and a Pinch of Bottle,Summer Sky,Water,Waves,Yes,Engineering,2,1,3,,,
7/24/2020 13:34:08,70,Jacquie,Gaffney,Jacquie.Gaffney@elmsampledata.com,"Puppies, Neon, Exotic",Puppies,Neon,Exotic,Two Hundred Puppies,E.X.O.T.I.C.,King Neon,Two Hundred Dancing Iced Puppies,Our Corona Puppies,Yes,Humanities / Social Sciences,2,1,3,Onita,Nicola,Gertrude
163,71,Janhavi,Sharma,Janhavi.Sharma@elmsampledata.com,,Exotic,Bottles,Blue,Bottlehead,Exotic Dream and a Pinch of Bottle,Bottleback,Waves,Ink,No,Humanities / Social Sciences,3,2,1,,,
7/24/2020 13:35:45,72,Jannie,Deibert,Jannie.Deibert@elmsampledata.com,"Puppies, Cakes, Dance",Puppies,Cakes,Dance,Two Hundred Puppies,Bring Me the Cakes,"Bottle, Cakes and Puppies",The Dancing Mind,Flight of the Cakes,Yes,Humanities / Social Sciences,3,2,1,Wendell,Gertrude,Trinity
152,73,Jashkumar,Jain,Jashkumar.Jain@elmsampledata.com,,Cakes,Yellow,Purple,Purple LED,The Love of Cakes,Sunshine,Cakes Two Hundred,Flight of the Cakes,Yes,Medicine,2,1,3,,,
79,74,Jasleen,Kaur,Jasleen.Kaur@elmsampledata.com,,Puppies,Neon,Exotic,E.X.O.T.I.C.,Exotic Dream and a Pinch of Bottle,Two Hundred Puppies,King Neon,Our Corona Puppies,No,Mass Communication,1,2,3,Kiranjit,,
7/24/2020 14:16:15,75,Jesusita,Seals,Jesusita.Seals@elmsampledata.com,"Bottles, Exotic, Corona",Bottles,Exotic,Corona,Exotic Dream and a Pinch of Bottle,E.X.O.T.I.C.,Our Exotic Bottle Love,Megabottle,This Love is Exotic But It's Unique,Yes,Engineering,2,3,1,Yuri,Lucretia,Dara
7/24/2020 14:02:15,76,Junior,Schlicher,Junior.Schlicher@elmsampledata.com,"Puppies, Bottles, Dance",Puppies,Bottles,Dance,B.O.T.T.L.E.,Two Hundred Puppies,The Dancing Mind,Bottle Fighters,Our Corona Puppies,No,Medicine,1,3,2,Mayme,Wendell,Karyn
107,77,Kamalakkannan,Srinivasan,Kamalakkannan.Srinivasan@elmsampledata.com,,Puppies,Red,Yellow,Love,Sunshine,Two Hundred Puppies,Bananas,Two Hundred Dancing Iced Puppies,Yes,Medicine,2,1,3,,,
63,78,Kanika,Dixit,Kanika.Dixit@elmsampledata.com,,Puppies,Cakes,Bottles,Two Hundred Puppies,Two Hundred Odd Puppies,Our Corona Puppies,Bring Me the Cakes,B.O.T.T.L.E.,Yes,Visual / Performing / Fine Arts,1,2,3,Ritika,,
89,79,Kartikeya,Pradhan,Kartikeya.Pradhan@elmsampledata.com,,White,Puppies,Green,Two Hundred Puppies,Our Corona Puppies,Trees,Moss and Lichen,Greenhouse,Yes,Chartered Accountancy,2,1,3,Aadil,,
7/24/2020 13:29:33,80,Karyn,Calderwood,Karyn.Calderwood@elmsampledata.com,"Cakes, Neon, Dance",Cakes,Neon,Dance,The Dancing Mind,King Neon,Dancing at the Disco,Cakes and a Bottle,The Love of Cakes,No,Mass Communication,2,1,3,Garland,Dario,Landon
7/24/2020 14:03:11,81,Kathy,Geddes,Kathy.Geddes@elmsampledata.com,"Cakes, Neon, Exotic",Cakes,Neon,Exotic,This Love is Exotic But It's Unique,Cakes Two Hundred,King Neon,Cakes and a Bottle,Bring Me the Cakes,Yes,Law,2,3,1,Yukiko,Yuri,Dario
118,82,Kaushal,Milind,Kaushal.Milind@elmsampledata.com,,Blue,Exotic,Bottles,Waves,Exotic Dream and a Pinch of Bottle,Bottle Fighters,E.X.O.T.I.C.,Indigo,Yes,Visual / Performing / Fine Arts,2,1,3,,,
7/24/2020 13:28:40,83,Kayleen,Feinberg,Kayleen.Feinberg@elmsampledata.com,"Puppies, Bottles, Exotic",Puppies,Bottles,Exotic,E.X.O.T.I.C.,Bottlehead,Exotic Dream and a Pinch of Bottle,B.O.T.T.L.E.,A Box of Cakes with Neon Bottle,No,Humanities / Social Sciences,1,3,2,Gita,Ute,Cassey
7/24/2020 13:35:36,84,Kevin,Rehkop,Kevin.Rehkop@elmsampledata.com,"Cakes, Dance, Corona",Cakes,Dance,Corona,Bring Me the Cakes,Our Corona Puppies,"Bottle, Cakes and Puppies",Between the Cakes and Me,The Love of Cakes,Yes,Medicine,3,1,2,Lucretia,Jannie,Delisa
113,85,Khalid,Bashir,Khalid.Bashir@elmsampledata.com,,Puppies,Red,Yellow,Two Hundred Puppies,Sunshine,Love,Anger,Our Corona Puppies,Yes,Humanities / Social Sciences,1,3,2,Anjana,,
153,86,Khushboo,Agarwal,Khushboo.Agarwal@elmsampledata.com,,Bottles,Red,Cakes,Love,B.O.T.T.L.E.,Anger,The Love of Cakes,Bottle Tribute,Yes,Humanities / Social Sciences,2,3,1,,,
95,87,Kiranjit,Kaur,Kiranjit.Kaur@elmsampledata.com,,Puppies,Neon,Exotic,Two Hundred Puppies,E.X.O.T.I.C.,King Neon,Two Hundred Dancing Iced Puppies,Our Corona Puppies,Yes,Humanities / Social Sciences,3,1,2,Jasleen,,
7/24/2020 13:39:58,88,Kristi,Hamill,Kristi.Hamill@elmsampledata.com,"Puppies, Cakes, Exotic",Puppies,Cakes,Exotic,Bring Me the Cakes,Exotic Dream and a Pinch of Bottle,Two Hundred Puppies,"Bottle, Cakes and Puppies",The Love of Cakes,Yes,Mass Communication,3,1,2,Beta,Sergio,Phebe
7/24/2020 13:42:06,89,Kristie,Snook,Kristie.Snook@elmsampledata.com,"Puppies, Neon, Exotic",Puppies,Neon,Exotic,Dancing at the Disco,E.X.O.T.I.C.,Two Hundred Puppies,Bring Me the Cakes,Exotic Dream and a Pinch of Bottle,Yes,Visual / Performing / Fine Arts,1,2,3,Hildred,Dario,Kevin
7/24/2020 13:31:12,90,Lakeshia,Shropshire,Lakeshia.Shropshire@elmsampledata.com,"Cakes, Neon, Corona",Cakes,Neon,Corona,A Box of Cakes with Neon Bottle,Bottle Fighters,Two Hundred Puppies,The Dancing Mind,Bottle Tribute,Yes,Chartered Accountancy,1,2,3,Ozell,Mollie,Cherlyn
7/24/2020 15:02:49,91,Landon,Callas,Landon.Callas@elmsampledata.com,"Puppies, Bottles, Neon",Puppies,Bottles,Neon,Exotic Dream and a Pinch of Bottle,Two Hundred Puppies,Our Exotic Bottle Love,"Bottle, Cakes and Puppies",Our Corona Puppies,Yes,Humanities / Social Sciences,3,1,2,Cathey,Hildred,Kathy
83,92,Leah,Govias,Leah.Govias@elmsampledata.com,,Puppies,Cakes,Bottles,Two Hundred Puppies,Bottle Tribute,Our Corona Puppies,A Box of Cakes with Neon Bottle,Cakes and a Bottle,No,Engineering,3,2,1,Avnika,,
164,93,Lokesh,Kumar,Lokesh.Kumar@elmsampledata.com,,Green,White,Cakes,Greenhouse,Trees,The Love of Cakes,Cakes Two Hundred,Snow,No,Engineering,2,1,3,,,
7/24/2020 13:43:46,94,Lucretia,Durrah,Lucretia.Durrah@elmsampledata.com,"Puppies, Cakes, Dance",Puppies,Cakes,Dance,Cakes and a Bottle,The Dancing Mind,Dancing at the Disco,Between the Cakes and Me,Flight of the Cakes,Yes,"Humanities / Social Sciences, Mass Communication",1,2,3,Kevin,Phebe,Jannie
123,95,Maathangi,Mohan,Maathangi.Mohan@elmsampledata.com,,Puppies,Red,Yellow,Two Hundred Puppies,Our Corona Puppies,Anger,Bananas,Sunshine,Yes,Law,2,1,3,Abhishek,,
124,96,Madhavan,Krishnamachari,Madhavan.Krishnamachari@elmsampledata.com,,Puppies,Red,Yellow,Two Hundred Puppies,Our Corona Puppies,Bananas,Sunshine,Our Corona Puppies,No,Visual / Performing / Fine Arts,2,3,1,Sagar,,
190,97,Madhusmita,Rawooth,Madhusmita.Rawooth@elmsampledata.com,,Blue,Cakes,Yellow,Waves,Bring Me the Cakes,Cakes and a Bottle,Bananas,Sunshine,No,Humanities / Social Sciences,3,2,1,,,
7/24/2020 13:26:00,98,Maegan,Benesh,Maegan.Benesh@elmsampledata.com,"Cakes, Bottles, Neon",Cakes,Bottles,Neon,Bottleback,Between the Cakes and Me,King Neon,B.O.T.T.L.E.,Bottle Fighters,Yes,Medicine,3,2,1,Nicola,Desmond,Yuri
146,99,Mahrukh,Chaudhry,Mahrukh.Chaudhry@elmsampledata.com,,Puppies,Black,White,Two Hundred Puppies,Snow,Glaciers,The Big Itch,Outer Space,Yes,Mass Communication,1,3,2,Arunima,,
165,100,Malika,Bhargava,Malika.Bhargava@elmsampledata.com,,Blue,Cakes,Yellow,Ink,Waves,Water,Bring Me the Cakes,Bananas,No,Engineering,1,2,3,,,
156,101,Manali,Amitav,Manali.Amitav@elmsampledata.com,,Blue,Cakes,Yellow,Water,Ink,Waves,Cakes Two Hundred,Sunshine,No,Engineering,2,1,3,,,
108,102,Manini,Menon,Manini.Menon@elmsampledata.com,,Blue,Cakes,Yellow,Bring Me the Cakes,Flight of the Cakes,Water,Waves,Sunshine,No,Humanities / Social Sciences,1,3,2,,,
